STATION_ID,X,Y,Z
0,-2559524.23682043,5095846.67363471,-2848988.72758185
1,-2559573.85868766,5095824.22162118,-2848984.94323095
2,-2559579.15163694,5095819.49141935,-2848988.67657305
3,-2559586.38326204,5095812.02407298,-2848995.44896997
4,-2559577.02462702,5095811.75478512,-2849004.38523846
5,-2559562.36386962,5095816.84349801,-2849008.24740001
6,-2559570.02742687,5095812.09631166,-2849009.86884274
7,-2559516.43210438,5095827.89444716,-2849029.50443245
8,-2559542.67487828,5095845.84987386,-2848973.71803064
9,-2559535.05568249,5095846.11608886,-2848980.07958805
10,-2559551.43200163,5095842.62700645,-2848971.7358047
11,-2559578.31186847,5095827.57088939,-2848974.95061817
12,-2559592.06244703,5095821.40759147,-2848973.62713226
13,-2559585.97629236,5095821.85852986,-2848978.36154236
14,-2559590.77956999,5095816.96664687,-2848982.76126562
15,-2559505.50905793,5095867.80668442,-2848967.03341176
16,-2559623.93203249,5095764.07097682,-2849046.04852502
17,-2559627.99317148,5095772.56137801,-2849027.49081096
18,-2559615.70261996,5095785.26937374,-2849016.08079147
19,-2559603.6968219,5095792.64269869,-2849014.05600249
20,-2559597.19950629,5095802.70810172,-2849002.23111709
21,-2559594.27461354,5095808.5234834,-2848994.57029268
22,-2559604.05430348,5095805.67436744,-2848990.71350117
23,-2559612.58057688,5095801.74907642,-2848989.90035145
24,-2559598.4859026,5095812.26227806,-2848984.1037881
25,-2559605.72288271,5095808.9984095,-2848983.37295141
26,-2559597.46151388,5095816.67254755,-2848977.21883162
27,-2559618.91111694,5095802.9097269,-2848982.11385852
28,-2559612.72483892,5095807.56133422,-2848979.42404531
29,-2559637.38376624,5095788.70978988,-2848990.59316456
30,-2559612.64392954,5095811.72451522,-2848972.30299137
31,-2559646.35453727,5095789.28297456,-2848981.4854132
32,-2559579.90969905,5095747.58855018,-2849114.60742565
33,-2559753.49912739,5095574.02264594,-2849264.04049221
34,-2559600.33606772,5095712.84082616,-2849157.1026514
35,-2559669.75682196,5095598.14100347,-2849297.60149969
36,-2559689.17090165,5095498.90695189,-2849458.15723259
37,-2559539.23151019,5095693.38939767,-2849245.79170328
38,-2559490.56411032,5095708.90814602,-2849261.38159328
39,-2559551.52511329,5095762.27346442,-2849114.35611949
40,-2559554.29367401,5095807.36283376,-2849032.28419723
41,-2559562.94692796,5095809.54957696,-2849020.689028
42,-2559577.69423937,5095801.73696795,-2849021.43051958
43,-2559581.52629478,5095804.23287999,-2849013.5771202
44,-2559587.26083052,5095805.79991338,-2849005.64284638
45,-2559588.68737068,5095799.49900897,-2849015.52767181
46,-2559594.82640672,5095792.89532829,-2849021.71623476
47,-2559603.95335699,5095784.60739105,-2849028.00146619
48,-2559467.68361759,5095837.002638,-2849056.70621676
49,-2559446.55974891,5095799.88160412,-2849141.19531071
50,-2559309.86053148,5095719.92094545,-2849400.50050088
51,-2559248.07894705,5095827.94251448,-2849264.78162141
52,-2559195.9724178,5095867.98047794,-2849239.57115052
53,-2559221.98098574,5095955.69582134,-2849059.74022111
54,-2559315.1516441,5095908.83153466,-2849062.04993867
55,-2559327.22794259,5095944.19949566,-2848987.33319462
56,-2559575.79885824,5095973.11697647,-2848713.11381342
57,-2559560.56644989,5095870.56766467,-2848912.88094033
58,-2559601.50147232,5095822.23349762,-2848963.60138247
59,-2559594.14753799,5095827.5547599,-2848960.7194767
60,-2559572.29855907,5095840.22173704,-2848957.38868042
61,-2559573.28535158,5095833.7894811,-2848968.17300371
62,-2559324.9552274,5095997.25143554,-2848893.50274043
63,-2559446.80446483,5095945.96528192,-2848877.67618636
64,-2559935.74760999,5095605.62083096,-2849042.9212563
65,-2559797.6967689,5095671.01646134,-2849052.35479234
66,-2559661.24112631,5095791.32737906,-2848964.52965989
67,-2559620.89371688,5095809.11573327,-2848969.42892551
68,-2559614.04824423,5095816.84610126,-2848961.89590579
69,-2559645.1441408,5095828.76798455,-2848912.56845977
70,-2559757.07568572,5095864.83693965,-2848746.84315802
71,-2559784.75166311,5095842.51003371,-2848762.10587847
72,-2559267.35501753,5096155.70142919,-2848659.16730069
73,-2559286.95472766,5096132.11137196,-2848684.25906451
74,-2559172.40184519,5096094.79389833,-2848853.8114557
75,-2559059.90849261,5095893.38291546,-2849316.08422483
76,-2559048.20177516,5096021.1073323,-2849097.96299517
77,-2559034.01101526,5096063.16715496,-2849035.4049824
78,-2558657.28892333,5096192.23541008,-2849148.45326512
79,-2558802.26603969,5096361.59980997,-2848711.60474892
80,-2559638.81872808,5096484.64756888,-2847739.91525319
81,-2559581.31437364,5096132.66352468,-2848422.36132527
82,-2559605.77576318,5096062.31857053,-2848526.66306984
83,-2559553.36794689,5096143.41971127,-2848427.74142215
84,-2559582.91046151,5096064.25361712,-2848543.35309173
85,-2559527.68527759,5096076.01612352,-2848571.07818291
86,-2559476.43107403,5096087.70841307,-2848595.41348775
87,-2559026.46302323,5096503.61065444,-2848251.12713246
88,-2560527.12106056,5095913.50800965,-2847969.72624055
89,-2559985.83949147,5095790.1692303,-2848673.02363798
90,-2559971.93236461,5095873.33165215,-2848539.19113314
91,-2559972.93722066,5095898.57300839,-2848493.32709535
92,-2559823.41090452,5095971.68708343,-2848497.43315087
93,-2559714.60933244,5096023.13230247,-2848501.28076164
94,-2559827.319189,5096037.87964646,-2848376.966263
95,-2559888.92234915,5096236.73193495,-2847962.97009691
96,-2560553.04631512,5095689.86962503,-2848339.63757322
97,-2560827.72599685,5095485.14553812,-2848456.93938844
98,-2560887.25971693,5095299.96552858,-2848728.84751153
99,-2560148.83778718,5095517.47917969,-2849005.6575694
100,-2560185.84718851,5095556.80647982,-2848903.26964244
101,-2560125.41061377,5095620.69643178,-2848844.72011605
102,-2560183.88949437,5095648.57952356,-2848742.60761403
103,-2560075.57174305,5095761.61216192,-2848641.71799038
104,-2560615.69319096,5095233.12598108,-2849087.04650145
105,-2560584.91027805,5094948.63505189,-2849618.26473253
106,-2559995.15292903,5095339.60828525,-2849460.86153979
107,-2559862.78100859,5095515.93890481,-2849268.84698975
108,-2559926.85992182,5095488.77233794,-2849259.30887895
109,-2560070.80670514,5095388.41875136,-2849305.73460111
110,-2560055.0026507,5095440.56924622,-2849227.17333778
111,-2560085.93497916,5095464.42312762,-2849156.77274002
112,-2559976.97838814,5094957.78698143,-2850150.59117752
113,-2559829.92915245,5095134.63521981,-2849970.26905092
114,-2559448.35191168,5095492.90313091,-2849675.7857608
115,-2559554.69480559,5095491.03626655,-2849586.70303555
116,-2559739.64584551,5095423.07642364,-2849545.12559068
117,-2559760.3693074,5095408.32022325,-2849552.7560066
118,-2559830.46340731,5095397.02976286,-2849509.83827018
119,-2559833.33319994,5095401.82280322,-2849498.98306075
120,-2559152.16695519,5095691.14827856,-2849590.25614897
121,-2559391.4923598,5095564.83428285,-2849600.053092
122,-2559009.92199246,5095559.04331439,-2849955.76372944
123,-2558915.34466407,5095582.98980547,-2849997.17780057
124,-2558872.62876703,5095717.36696487,-2849796.17280441
125,-2558990.21866886,5095856.51914554,-2849444.49725914
126,-2559003.88692766,5095887.815817,-2849376.86316992
127,-2559043.741573,5095823.02355043,-2849455.57751715
